task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Geography,Physical Geography,3,82,3,Core
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Geography,Physical Geography,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Geography,Physical Geography,5,100,4,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,5,100,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,3,90,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,97,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,92,3,Core
Acquire or access primary data sources relevant to research questions.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,97,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,95,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,93,3,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,5,98,4,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,3,65,2,Supplemental
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,100,4,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,5,96,3,Core
"Present research findings at conferences, seminars, and symposia.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,99,3,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,100,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,3,92,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,3,82,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,3,80,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,3,88,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,90,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,98,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,3,80,3,Core
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Health Sciences,Medicine & Clinical Sciences,Endocrinology & Metabolism,5,100,4,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Arts & Humanities,Arts,Digital & New Media Arts,4,98,3,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Arts & Humanities,Arts,Digital & New Media Arts,4,95,3,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Arts & Humanities,Arts,Digital & New Media Arts,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Arts & Humanities,Arts,Digital & New Media Arts,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Arts & Humanities,Arts,Digital & New Media Arts,4,95,4,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Arts & Humanities,Arts,Digital & New Media Arts,4,90,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Arts & Humanities,Arts,Digital & New Media Arts,3,80,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Arts & Humanities,Arts,Digital & New Media Arts,4,92,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Arts & Humanities,Arts,Digital & New Media Arts,3,90,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Arts & Humanities,Arts,Digital & New Media Arts,3,85,3,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Arts & Humanities,Arts,Digital & New Media Arts,3,75,3,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Arts & Humanities,Arts,Digital & New Media Arts,3,70,3,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Arts & Humanities,Arts,Digital & New Media Arts,4,95,3,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Arts & Humanities,Arts,Digital & New Media Arts,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Arts & Humanities,Arts,Digital & New Media Arts,4,95,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Arts & Humanities,Arts,Digital & New Media Arts,5,100,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Arts & Humanities,Arts,Digital & New Media Arts,4,98,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Arts & Humanities,Arts,Digital & New Media Arts,3,90,3,Core
